film_id,title,category,language,length,is_long_film
19,amadeus holy,action,english,113,0
21,american circus,action,english,129,1
29,antitrust tomatoes,action,english,168,1
38,ark ridgemont,action,english,68,0
56,barefoot manchurian,action,english,129,1
67,berets agent,action,english,77,0
97,bride intrigue,action,english,56,0
105,bull shawshank,action,english,125,1
111,caddyshack jedi,action,english,52,0
115,campus remember,action,english,167,1
126,casualties encino,action,english,179,1
130,celebrity horn,action,english,110,0
162,clueless bucket,action,english,95,0
194,crow grease,action,english,104,0
205,dances none,action,english,58,0
210,darko dorado,action,english,130,1
212,darn forrester,action,english,185,1
229,devil desire,action,english,87,0
250,dragon squad,action,english,170,1
252,dream pickup,action,english,135,1
253,drifter commandments,action,english,61,0
271,easy gladiator,action,english,148,1
287,entrapment satisfaction,action,english,176,1
292,excitement eve,action,english,51,0
303,fantasy troopers,action,english,58,0
318,firehouse vietnam,action,english,103,0
327,fool mockingbird,action,english,158,1
329,forrest sons,action,english,63,0
360,glass dying,action,english,103,0
371,gosford donnie,action,english,129,1
375,grail frankenstein,action,english,85,0
395,handicap boondock,action,english,108,0
417,hills neighbors,action,english,93,0
501,kissing dolls,action,english,141,1
511,lawrence love,action,english,175,1
530,lord arizona,action,english,108,0
542,lust lock,action,english,52,0
549,magnolia forrester,action,english,171,1
574,midnight westward,action,english,86,0
579,minds truman,action,english,149,1
586,mockingbird hollywood,action,english,60,0
594,montezuma command,action,english,126,1
659,park citizen,action,english,109,0
664,patriot roman,action,english,65,0
697,primary glass,action,english,53,0
707,quest mussolini,action,english,177,1
717,rear trading,action,english,97,0
732,rings heartbreakers,action,english,58,0
748,rugrats shakespeare,action,english,109,0
793,shrunk divine,action,english,139,1
794,side ark,action,english,52,0
802,sky miracle,action,english,132,1
823,south wait,action,english,143,1
825,speakeasy date,action,english,165,1
838,stagecoach armageddon,action,english,112,0
850,story side,action,english,163,1
869,suspects quills,action,english,47,0
911,trip newton,action,english,64,0
915,truman crazy,action,english,92,0
927,uprising uptown,action,english,174,1
964,waterfront deliverance,action,english,61,0
968,werewolf lola,action,english,79,0
982,women dorado,action,english,126,1
991,worst banger,action,english,185,1
18,alter victory,animation,english,57,0
23,anaconda confessions,animation,english,92,0
36,argonauts town,animation,english,127,1
70,bikini borrowers,animation,english,142,1
78,blackout private,animation,english,85,0
89,borrowers bedazzled,animation,english,63,0
118,canyon stock,animation,english,85,0
